city,main_location,second_location,map_address,country,start_date,max_numbers,more_one_day,numbers_source,image_url,icon_1,icon_2,icon_3
A Coruña,Plaza de Pontevedra,,"A Coruña,Plaza de Pontevedra,Spain",Spain,5/15/2011,5000,Yes,http://www.vtelevision.es/informativos/2011/10/15/0031_26_102972.htm,,capital_big_highlight,target,shaded_dot
Ahmedabad,,,"Ahmedabad,,India",India,October 21st,few 10s of people,No,,http://news.yahoo.com/photos/-rage-against-wall-street-power-clogs-sidewalks-1316463530-slideshow/activists-communist-socialist-unity-centre-india-suci-hold-photo-142110352.html,capital_big_highlight,target,shaded_dot
"Akron, OH",Cascade Plaza,,"Akron, OH,Cascade Plaza,United States",United States,10/15/2011,20,Yes,http://www.mediaite.com/online/occupy-grand-forks-occupy-scranton-occupy-wall-street-goes-nationwide/,http://in.news.yahoo.com/video/clevelandwews-20910953/occupy-akron-26958084.html#crsl=%252Fvideo%252Fclevelandwews-20910953%252Foccupy-akron-26958084.html,capital_big_highlight,target,shaded_dot
Amersfoort,Burgemeester Brouwerplantsoen,,"Amersfoort,Burgemeester Brouwerplantsoen,The Netherlands",The Netherlands,22 oktober 2011,83,Yes,https://www.facebook.com/lists/307668895912990#!/groups/265413156828578/,https://www.facebook.com/media/set/?set=a.301772439835969.84566.100000096450218&type=1&l=2ed141824a,capital_big_highlight,target,shaded_dot
"Anaheim, California",Chase Manhattan Bank,,"Anaheim, California,Chase Manhattan Bank,USA",USA,10/10/11,75,Yes,http://www.ocregister.com/articles/bank-321258-protestors-chase.html,,capital_big_highlight,target,shaded_dot
Antarctica,tundra,,"Antarctica,tundra,Antarctica",Antarctica,10/15/2011,7,Yes,http://www.washingtonpost.com/rf/image_606w/WashingtonPost/Content/Blogs/blogpost/201110/Images/occupyantarctica.jpg?uuid=36TvcvmSEeCvhYhGIVt8PQ,http://www.washingtonpost.com/rf/image_606w/WashingtonPost/Content/Blogs/blogpost/201110/Images/occupyantarctica.jpg?uuid=36TvcvmSEeCvhYhGIVt8PQ,capital_big_highlight,target,shaded_dot
Antartica,research station,,"Antartica,research station,Antartica",Antartica,10/15/2011,10/15/2011,Yes,http://www.neatorama.com/2011/10/18/occupy-antarctica/,http://uploads.neatorama.com/wp-content/uploads/2011/10/occupyantarctica-500x375.jpg,capital_big_highlight,target,shaded_dot
Appleton,College Ave.,,"Appleton,College Ave.,United States",United States,10/15/2011,200,Yes,http://www.postcrescent.com/apps/pbcs.dll/article?AID=2011110160636,http://www.postcrescent.com/apps/pbcs.dll/gallery?Avis=U0&Dato=20111015&Kategori=APC01&Lopenr=110150823&Ref=PH,capital_big_highlight,target,shaded_dot
arcata,humboldt state university,,"arcata,humboldt state university,usa",usa,1/10/11,100,Yes,http://www.facebook.com/pages/Occupy-Arcata/220016521390780,,capital_big_highlight,target,shaded_dot
Arcata,Plaza,university,"Arcata,Plaza,USA",USA,10/15/2011,not sure,Yes,http://www.facebook.com/pages/Occupy-Arcata/220016521390780,,capital_big_highlight,target,shaded_dot
"Arcata, California",Humboldt State U. Quad,Bank of America,"Arcata, California,Humboldt State U. Quad,USA",USA,11/10/11,100,Yes,http://www.arcataeye.com/2011/10/occupy-humboldt-matures-projects-protest-to-community-%E2%80%93-october-11-2011/,http://www.arcataeye.com/2011/10/occupy-humboldt-matures-projects-protest-to-community-%E2%80%93-october-11-2011/,capital_big_highlight,target,shaded_dot
Arnhem,Jansbinnensingel,,"Arnhem,Jansbinnensingel,The Netherlands",The Netherlands,10/29/11,25,Yes,http://www.facebook.com/groups/210611575674510/,,capital_big_highlight,target,shaded_dot
"arnold, MO",town square,,"arnold, MO,town square,USA",USA,10/23/2011,3500,Yes,www.godhatesfags.com,,capital_big_highlight,target,shaded_dot
Aspen,Aspen Wagner Park,0053 Forge,"Aspen,Aspen Wagner Park,USA",USA,8/10/11,53,No,http://www.aspentimes.com/article/20111023/NEWS/111029921/1077&ParentProfile=1058,www.occupyaspen.com,capital_big_highlight,target,shaded_dot
"Austin, TX",City Hall,,"Austin, TX,City Hall,USA",USA,6/10/11,2000,Yes,http://occupyaustin.org/,http://www.statesman.com/news/local/occupy-austin-protesters-air-grievances-without-drawing-police-1900452.html?cxtype=rss_ece_frontpage,capital_big_highlight,target,shaded_dot
Bangor,Downtown,,"Bangor,Downtown,United States",United States,12/10/11,50,Yes,http://www.facebook.com/#!/OccupyBangor?sk=info,,capital_big_highlight,target,shaded_dot
Bath,Queen Square,,"Bath,Queen Square,United Kingdom",United Kingdom,10/30/11,200,Yes,http://www.thisisbath.co.uk/Occupy-Bath-protest-begins-Queen-Square/story-13711969-detail/story.html,http://www.thisisbath.co.uk/images/localpeople/ugc-images/275774/Article/images/13711969/3293079.png,capital_big_highlight,target,shaded_dot
"Baton Rouge, Louisiana",State Capitol Park,,"Baton Rouge, Louisiana,State Capitol Park,USA",USA,"October 22nd, 2011",150,Yes,http://www.facebook.com/event.php?eid=181241168622039,,capital_big_highlight,target,shaded_dot
Belfast,Writers Square,,"Belfast,Writers Square,Northern Ireland",Northern Ireland,9/15/11,50,Yes,http://www.facebook.com/pages/Occupy-Belfast/183721545037864?ref=ts,http://occupythecity.co.uk/wp-content/plugins/rss-poster/cache/8c05d__56411881_photo.jpg,capital_big_highlight,target,shaded_dot
Belo Horizonte,Praça da Assembléia,,"Belo Horizonte,Praça da Assembléia,Brazil",Brazil,10/15/2011,120,Yes,"ww.em.com.br/app/noticia/politica/2011/10/21/interna_politica,257430/grupo-acampa-proximo-a-almg-para-pedir-mais-qualidade-na-politica.shtml",,capital_big_highlight,target,shaded_dot
"Bend, OregS",Drake Park,,"Bend, OregS,Drake Park,USA",USA,"October 15,1011",150,Yes,http://www.ktvz.com/news/29498124/detail.html,http://www.youtube.com/watch?v=RsMkm-VW0DY,capital_big_highlight,target,shaded_dot
Bentonville,Town Square,,"Bentonville,Town Square,United States",United States,10/19/2011,50,Yes,,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-ash2/276957_281696981849696_1789119494_n.jpg,capital_big_highlight,target,shaded_dot
Berkeley,University of California,,"Berkeley,University of California,USA",USA,9/11/11,,Yes,http://www.sfgate.com/cgi-bin/article.cgi?f=/c/a/2011/11/09/BA861LSR8G.DTL,,capital_big_highlight,target,shaded_dot
"Birmingham, Alabama",Railroad Park,,"Birmingham, Alabama,Railroad Park,USA",USA,10/14/2011,300,Yes,http://blog.al.com/birmingham-news-stories/2011/10/occupy_movement_hits_birmingha.html,http://occupybirmingham.org/,capital_big_highlight,target,shaded_dot
Bismarck,7th and Broadway,,"Bismarck,7th and Broadway,United States",United States,10/15/2011,60,No,http://prairieindependent.com/?p=466,http://prairieindependent.com/wp-content/uploads/2011/10/IMG_2922-1024x768.jpg,capital_big_highlight,target,shaded_dot
bolzano bozen,prati del talvera Talferwiesen,,"bolzano bozen,prati del talvera Talferwiesen,italy",italy,10/15/11,400,No,http://www.ansa.it/web/notizie/regioni/trentino/2011/10/15/visualizza_new.html_671586800.html,,capital_big_highlight,target,shaded_dot
Bottrop,Pferdemarkt,,"Bottrop,Pferdemarkt,Germany",Germany,22.10.2011,,Yes,http://www.facebook.com/pages/Occupy-Bottrop/139713562794905,,capital_big_highlight,target,shaded_dot
Bournemouth,Bournemouth Town Hall,Bournemouth Gardens,"Bournemouth,Bournemouth Town Hall,England",England,10/29/11,50,Yes,http://www.facebook.com/groups/151797548250531/,http://www.flickr.com/photos/dawnv/6299480876/in/photostream/,capital_big_highlight,target,shaded_dot
"Bowling Green, Ohio","Happy Badger Shop, Downtown","Bowling Green State University, Main Campus","Bowling Green, Ohio,Happy Badger Shop, Downtown,US",US,10/19/2011,50,No,http://www.facebook.com/OccupyBG,http://www.facebook.com/OccupyBG,capital_big_highlight,target,shaded_dot
"Bozeman, MT",Downtown,,"Bozeman, MT,Downtown,USA",USA,10/14/2011,200,No,http://www.bozemandailychronicle.com/news/politics/article_3b3eccfc-f6e8-11e0-8646-001cc4c03286.html,http://img850.imageshack.us/img850/8210/4e98b01b13c0cimage.jpg,capital_big_highlight,target,shaded_dot
Bradford,Centenary Square,,"Bradford,Centenary Square,United Kingdom",United Kingdom,10/28/11,8,Yes,http://www.thetelegraphandargus.co.uk/news/9333371.Protesters_occupy_part_of_Bradford_s_Centenary_Square/?ref=mc,http://www.thetelegraphandargus.co.uk/resources/images/1813120/?type=display,capital_big_highlight,target,shaded_dot
Bratislava,Citycenter,,"Bratislava,Citycenter,Slovakia",Slovakia,15.10.2011,400,Yes,,https://www.facebook.com/media/set/?set=a.282002871823321.72250.100000408309190&type=1,capital_big_highlight,target,shaded_dot
Brighton,Victoria Gardens,,"Brighton,Victoria Gardens,UK",UK,29th October,20 - 30,Yes,http://newsfrombrighton.co.uk/brighton-and-hove-news/occupy-brighton-group-set-up-camp-at-victoria-gardens/,http://newsfrombrighton.co.uk/wp-content/uploads/2011/10/white-night-brighton-2011-041.jpg,capital_big_highlight,target,shaded_dot
Brighton UK,Old Steine,,"Brighton UK,Old Steine,UK",UK,10/30/11,?,Yes,,http://www.twitvid.com/ECDGM,capital_big_highlight,target,shaded_dot
"Buckhannon, WV",,,"Buckhannon, WV,,US",US,10/29/2011,,Yes,http://www.facebook.com/#!/pages/Occupy-Buckhannon-WV/291307554226917,http://www.facebook.com/#!/pages/Occupy-Buckhannon-WV/291307554226917,capital_big_highlight,target,shaded_dot
"Burlington, Vermont",City Hall Park,,"Burlington, Vermont,City Hall Park,United States",United States,,,Yes,http://www.facebook.com/pages/Occupy-Vermont-Burlington/241564049229609?sk=info,http://www.facebook.com/photo.php?fbid=10150384736354380&set=o.241564049229609&type=3,capital_big_highlight,target,shaded_dot
"Burlington, Vermont",City Hall Park,Church Street,"Burlington, Vermont,City Hall Park,USA",USA,9/10/11,500,Yes,www.wcax.com/story/15703361/occupy-movement-gaining-momentum,www.wcax.com/story/15703361/occupy-movement-gaining-momentum,capital_big_highlight,target,shaded_dot
"Burlington, VT",City Hall Park,,"Burlington, VT,City Hall Park,United States",United States,10/28/2011,700,Yes,,,capital_big_highlight,target,shaded_dot
Byron Bay,Railway Park,Main Beach,"Byron Bay,Railway Park,Australia",Australia,10/15/11,250,No,http://www.echo.net.au/ Page 3,https://www.facebook.com/media/set/?set=a.10150446113832985.465676.741222984&type=3,capital_big_highlight,target,shaded_dot
Cairns,City Place,,"Cairns,City Place,Australia",Australia,10/15/2011,100,Yes,,http://www.facebook.com/media/set/?id=100000138911907&frecId=false&qn=1318987152&tid=105633936213242&success=1&session_id=0&start_time=1318987152&failure=0&set=oa.110388805737755#!/photo.php?fbid=304211562926805&set=oa.110388805737755&type=1&theater,capital_big_highlight,target,shaded_dot
Cairo,Heliopolis,,"Cairo,Heliopolis,Egypt",Egypt,,,No,,https://www.facebook.com/photo.php?fbid=10150858020435018&set=a.10150292066865018.511877.649890017&type=3&theater,capital_big_highlight,target,shaded_dot
"Calgary, BC",Olympic Plaza downtown,Centenary Park on St. Patrick's Island,"Calgary, BC,Olympic Plaza downtown,Canada",Canada,10/15/2011,400,Yes,http://www.cbc.ca/news/canada/edmonton/story/2011/10/16/calgary-occupy-folo.html,http://www.cbc.ca/news/canada/edmonton/story/2011/10/16/calgary-occupy-folo.html,capital_big_highlight,target,shaded_dot
Canberra,City Hill,,"Canberra,City Hill,Australia",Australia,10/15/2011,45,Yes,Organizer - date has passed,http://a7.sphotos.ak.fbcdn.net/hphotos-ak-ash4/310202_295887657093446_295887453760133_1415937_839844746_n.jpg,capital_big_highlight,target,shaded_dot
Cape Town,Company Gardens,,"Cape Town,Company Gardens,South Africa",South Africa,10/16/2011,700,Yes,http://occupycapetown.org/,http://occupycapetown.org/wp-content/themes/twentyeleven/images/occupy/20.jpg,capital_big_highlight,target,shaded_dot
Castellon,Plaza Agustina,,"Castellon,Plaza Agustina,Spain",Spain,10/15/2011,1300,No,http://politica.elpais.com/politica/2011/10/15/actualidad/1318683837_874343.html,,capital_big_highlight,target,shaded_dot
"Champaign-Urbana, IL",UIC Campus,,"Champaign-Urbana, IL,UIC Campus,USA",USA,10/15/2011,150,Yes,https://www.facebook.com/photo.php?fbid=225265877537163&set=pu.217917408272010&type=1&theater,https://www.facebook.com/photo.php?fbid=225265877537163&set=pu.217917408272010&type=1&theater,capital_big_highlight,target,shaded_dot
"Chapel Hill, NC",Post Office (Peace and Justice Plaza),,"Chapel Hill, NC,Post Office (Peace and Justice Plaza),United States",United States,10/15/2011,110,Yes,http://www.newsobserver.com/2011/10/16/1571313/occupy-chapel-hill-demonstrators.html,http://farm7.static.flickr.com/6214/6252607042_02e74b069a_z.jpg,capital_big_highlight,target,shaded_dot
"Charleston, Illinois",Eastern Illinois University,,"Charleston, Illinois,Eastern Illinois University,United States",United States,10/17/2011,12,Yes,"Self, independent observer",http://bryanmurley.com/site/?p=93,capital_big_highlight,target,shaded_dot
"Charleston, South Carolina",Downtown,,"Charleston, South Carolina,Downtown,USA",USA,10/15/2011,170,No,http://www.postandcourier.com/news/2011/oct/15/occupy-charleston-protesters/,,capital_big_highlight,target,shaded_dot
Charlotte,Old City Hall,,"Charlotte,Old City Hall,USA",USA,10/15/11,30-50,Yes,http://www.charlotteobserver.com/2011/10/17/2700794/occupy-charlotte-101711.html#storylink=misearch,http://www.charlotteobserver.com/2011/10/17/2700794/occupy-charlotte-101711.html#storylink=misearch,capital_big_highlight,target,shaded_dot
"Charlottesville, Virginia",Lee Park,McGuffey Park,"Charlottesville, Virginia,Lee Park,USA",USA,12/10/11,24,Yes,http://www2.dailyprogress.com/news/2011/oct/15/occupy-charlottesville-protest-draws-dozens-ar-1386928/,http://www2.dailyprogress.com/mgmedia/image/294/0/180971/occupy-charlottesville/,capital_big_highlight,target,shaded_dot
"Charlottetown, PEI",Province House,,"Charlottetown, PEI,Province House,Canada",Canada,October 15th 2011,125,Yes,http://www.cbc.ca/news/canada/nova-scotia/story/2011/10/15/ns-occupy-halifax-fredericton.html?cmp=rss,http://www.cbc.ca/news/canada/nova-scotia/story/2011/10/15/ns-occupy-halifax-fredericton.html?cmp=rss,capital_big_highlight,target,shaded_dot
"Charlottetown, Prince Edward Island",,,"Charlottetown, Prince Edward Island,,Canada",Canada,,,Yes,http://www.cbc.ca/news/canada/new-brunswick/story/2011/10/15/ns-occupy-halifax-fredericton.html,http://www.cbc.ca/news/canada/new-brunswick/story/2011/10/15/ns-occupy-halifax-fredericton.html,capital_big_highlight,target,shaded_dot
Chattanooga,Chestnut Street,,"Chattanooga,Chestnut Street,United States",United States,10/15/2011,50,Yes,http://www.timesfreepress.com/news/2011/oct/27/beefed-security-against-possible-occupy-chattanoog/,http://www.timesfreepress.com/news/2011/oct/27/beefed-security-against-possible-occupy-chattanoog/,capital_big_highlight,target,shaded_dot
Chauffailles,Mairie,,"Chauffailles,Mairie,FRANCE",FRANCE,10/22/2011,15,Yes,http://www.lejsl.com/pays-charolais/2011/10/26/les-indignes-a-chauffailles,,capital_big_highlight,target,shaded_dot
"Cheyenne, WY",Depot Plaza,,"Cheyenne, WY,Depot Plaza,USA",USA,10/15/2011,70,Yes,http://www.wyomingnews.com/articles/2011/10/16/news/19local_10-16-11.txt,http://cognitivedissonance.tumblr.com/post/11501014143/occupy-cheyenne-in-cheyenne-wyoming-photos,capital_big_highlight,target,shaded_dot
"Chico, CA",City Plaza,,"Chico, CA,City Plaza,United States of America",United States of America,9/10/11,40 - 100,Yes,http://www.chicoer.com/ci_19111628?source=rss_viewed,,capital_big_highlight,target,shaded_dot
Christchurch,Hagley Park,,"Christchurch,Hagley Park,New Zealand",New Zealand,15th October 2011,100,Yes,https://www.facebook.com/occupychristchurch,https://www.facebook.com/occupychristchurch,capital_big_highlight,target,shaded_dot
Cincinnati,Piatt Park,,"Cincinnati,Piatt Park,United States",United States,"Oct. 8, 2011 (ongoing)",500+ (500 is number cited for only one day's demonstration),Yes,http://www.fox19.com/story/15649181/hundreds-occupy-cincinnati,http://www.fox19.com/story/15649181/hundreds-occupy-cincinnati,capital_big_highlight,target,shaded_dot
"Clearlake, California",Intersection of Old Hwy 53 and Olympic,,"Clearlake, California,Intersection of Old Hwy 53 and Olympic,USA",USA,10/15/2011,40,No,http://www.record-bee.com/ci_19135316,http://www.facebook.com/#!/groups/occupyclarksburg/,capital_big_highlight,target,shaded_dot
"Cleveland, Ohio",Public Square,Willard Park near the Free Stamp,"Cleveland, Ohio,Public Square,USA",USA,6/10/11,? 50 tents; hundreds at rallies,Yes,http://occupycleveland.com,http://topics.cleveland.com/tag/occupy%20cleveland/index.html,capital_big_highlight,target,shaded_dot
"Colorado Springs, CO",Acacia Park,,"Colorado Springs, CO,Acacia Park,USA",USA,Oct 4?,500,Yes,http://www.dailykos.com/story/2011/10/15/1026756/-Occupy-Colorado-Springs-joins-United-for-Global-Change-101511,http://bit.ly/pJVMrU,capital_big_highlight,target,shaded_dot
"Coos Bay, Oregon, USA","Boardwalk, along Highway 101",,"Coos Bay, Oregon, USA,Boardwalk, along Highway 101,USA",USA,"October 15,1011",40,Yes,http://theworldlink.com/news/local/article_3ed0dff5-fefc-5acd-828e-fce6e30d37bc.html,(above in url),capital_big_highlight,target,shaded_dot
Córdoba,La Corredera,,"Córdoba,La Corredera,Spain",Spain,5/15/2011,6000,No,http://www.diariocordoba.com/noticias/cordobalocal/mas-de-6-000-indignados-reclaman-por-las-calles-de-cordoba-un-cambio-global_670719.html,http://zetaestaticos.com/cordoba/img/noticias/0/670/670719_1.jpg,capital_big_highlight,target,shaded_dot
Cordova Alaska,main Street,,"Cordova Alaska,main Street,USA",USA,10/16/2011,25-35 (town population this time of year is about 1500),No,Witness,https://www.facebook.com/photo.php?fbid=2417657608093&set=a.2417645567792.134747.1450956250&type=3,capital_big_highlight,target,shaded_dot
"Corvallis, Oregon",Bank of America branches,,"Corvallis, Oregon,Bank of America branches,USA",USA,6/10/11,60,Yes,http://kezi.com/page/226961,http://kezi.com/page/226961,capital_big_highlight,target,shaded_dot
"Danbury, CT",,,"Danbury, CT,,US",US,,,Yes,http://www.facebook.com/OCCUPY314159,,capital_big_highlight,target,shaded_dot
Davis,Central Park,,"Davis,Central Park,U.S.A.",U.S.A.,Oct 7th,50,Yes,http://davis.patch.com/articles/video-occupy-davis-holds-first-meeting-in-central-park,http://davis.patch.com/articles/video-occupy-davis-holds-first-meeting-in-central-park,capital_big_highlight,target,shaded_dot
dayton,courthouse square,,"dayton,courthouse square,usa",usa,9/10/11,200,Yes,occupydaytonohio.org/events/,occupydaytonohio.org/photos-graphics/occupy-dayton-photos/,capital_big_highlight,target,shaded_dot
"Detroit, MI",Grand Circus Park,The Guardian Building (housing a Bank of American branch); also the Oakland County Republican Party office,"Detroit, MI,Grand Circus Park,United States",United States,10/14/2011,200 (estimate for one day of ongoing protests),Yes,http://www.freep.com/article/20111016/NEWS05/110160502/Occupy-Detroit-peaceful-hundreds-march-camp-out?odyssey=nav|head,http://www.freep.com/article/20111016/NEWS05/110160502/Occupy-Detroit-peaceful-hundreds-march-camp-out?odyssey=nav|head,capital_big_highlight,target,shaded_dot
Dhaka,Dhaka University Campus,,"Dhaka,Dhaka University Campus,Bangladesh",Bangladesh,10/19/11,300,No,http://rezwanul.blogspot.com/2011/10/occupydhaka-joining-global-movement.html,http://globalvoicesonline.org/wp-content/uploads/2011/10/885648-640x480.jpg,capital_big_highlight,target,shaded_dot
Dhaka,"Raju Sculpture, Dhaka University",,"Dhaka,Raju Sculpture, Dhaka University,Bangladesh",Bangladesh,10/22/2011,5000,Yes,http://unheardvoice.net/blog/2011/10/20/occupy-dhaka/,http://s1.proxy04.twitpic.com/photos/large/427864195.jpg,capital_big_highlight,target,shaded_dot
Dublin,Dame Street,Garden of Remembrance,"Dublin,Dame Street,Ireland",Ireland,Dublin,600,No,http://enoughcampaign.org/2011/10/17/dublin-marchers-protest-against-corporate-greed/,http://www.irishtimes.com/newspaper/breaking/images/2011/1008/281703_1.jpg?ts=1319034469,capital_big_highlight,target,shaded_dot
Duendin,Octagon (Town Square),,"Duendin,Octagon (Town Square),New Zealand",New Zealand,10/15/2011,100min - 350max,Yes,http://www.odt.co.nz/news/dunedin/183071/occupy-protesters-take-council-task-over-wide-front,http://t2.gstatic.com/images?q=tbn:ANd9GcSURQPczpI9aB0T4ENk1PxiSeSpf89ZCMoCkwAGMbrdddKmBiRz,capital_big_highlight,target,shaded_dot
"Duluth, Minnesota",Civic Center,Lake Superior Plaza,"Duluth, Minnesota,Civic Center,United States",United States,9/10/11,100,Yes,http://www.twincities.com/ci_19104137,http://www.duluthnewstribune.com/event/image/id/73504/headline/Occupy%20Duluth%20rally/,capital_big_highlight,target,shaded_dot
Edmonton,"Churchill Square, in front of City Hall",Jasper Avenue and 102 Avenue,"Edmonton,Churchill Square, in front of City Hall,Canada",Canada,15th October 2011,more than 1000,Yes,http://eedition.edmonton.24hrs.ca/epaper/viewer.aspx,http://eedition.edmonton.24hrs.ca/epaper/viewer.aspx,capital_big_highlight,target,shaded_dot
El Paso,San Jacinto Plaza,,"El Paso,San Jacinto Plaza,USA",USA,10/17/2011,50,Yes,http://www.facebook.com/OccupyElPaso,http://www.facebook.com/OccupyElPaso,capital_big_highlight,target,shaded_dot
Eton,Eton College playing fields,,"Eton,Eton College playing fields,UK",UK,November 12th 2012,100,Yes,www.ianbone.wordpress.com,,capital_big_highlight,target,shaded_dot
"Eugene, OR","Park Blocks, Downtown",Lane County Courthouse,"Eugene, OR,Park Blocks, Downtown,USA",USA,10/15/2011,2000,Yes,http://occupyeugenemedia.org/contact/,https://www.facebook.com/media/set/?set=a.10150357328253901.366491.576178900&type=1&l=4bc977c5a2,capital_big_highlight,target,shaded_dot
Eureka,Humboldt county courthouse,F. Street waterfront boardwalk,"Eureka,Humboldt county courthouse,United States",United States,?,30,Yes,http://www.northcoastjournal.com/news/201http://www.times-standard.com/localnews/ci_19079851,http://www.facebook.com/pages/Occupy-Eureka/267238049976322?sk=photos,capital_big_highlight,target,shaded_dot
"Evansville, Indiana",Downtown,,"Evansville, Indiana,Downtown,USA",USA,10/15/2011,100,Yes,http://www.courierpress.com/news/2011/oct/15/no-headline---_evoccupy/?partner=popular,http--media.courierpress.com-media-img-photos-2011-10-15-420111015213029001_t607.JPG,capital_big_highlight,target,shaded_dot
"Everett, Washington",Snohomish County Courthouse at Rockerfeller and Wall,,"Everett, Washington,Snohomish County Courthouse at Rockerfeller and Wall,United States",United States,10/25/2011,50,Yes,http://www.heraldnet.com/article/20111027/NEWS01/710279817/-1/HeraldNetMSNBC,,capital_big_highlight,target,shaded_dot
"Falmouth, Massachusetts",Falmouth Village Green,,"Falmouth, Massachusetts,Falmouth Village Green,USA",USA,8/10/11,37,Yes,http://www.iocapecod.com/lifestyle/occupy_wall_street_comes_to_main_street,http://www.iocapecod.com/lifestyle/occupy_wall_street_comes_to_main_street,capital_big_highlight,target,shaded_dot
"Fargo-Moorhead, ND",Downtown,,"Fargo-Moorhead, ND,Downtown,United states",United states,10/15/2011,150,Yes,http://www.inforum.com/event/article/id/337353/,http://www.inforum.com/media/story/jpg/2011/10/17/1018-n-occupy.jpg,capital_big_highlight,target,shaded_dot
"Fontana, California",City Hall,,"Fontana, California,City Hall,USA",USA,12/10/11,35,No,http://www.fontanaheraldnews.com/articles/2011/10/18/news/doc4e9dab8f09e4c671951848.txt,http://images.townnews.com/fontanaheraldnews.com/content/articles/2011/10/18/news/doc4e9dab8f09e4c671951848.jpg,capital_big_highlight,target,shaded_dot
Fort Collins,College Ave and Maple Street,,"Fort Collins,College Ave and Maple Street,USA",USA,October 4th,,Yes,,https://fbcdn-sphotos-a.akamaihd.net/hphotos-ak-ash4/301560_291746207510949_278375945514642_1120707_131056944_n.jpg,capital_big_highlight,target,shaded_dot
Fort Collins,281 N College Ave,,"Fort Collins,281 N College Ave,USA",USA,10/10/11,50,Yes,http://www.facebook.com/pages/OccupyFortCollins/278375945514642,https://www.facebook.com/photo.php?fbid=260705373972509&set=a.260705100639203.63208.211157518927295&type=3,capital_big_highlight,target,shaded_dot
"Fort Lauderdale, Florida USA",Bubier Park,Wilton Manors,"Fort Lauderdale, Florida USA,Bubier Park,Broward",Broward,8/10/11,650,Yes,occupyfortlauderdale.org,,capital_big_highlight,target,shaded_dot
"Fort Wayne, Indiana, USA",Headwaters Park,Courthouse,"Fort Wayne, Indiana, USA,Headwaters Park,USA",USA,10/15/2011,300,Yes,http://www.wane.com/dpp/news/group-set-to-protest-in-downtown-ft.-wayne-mre,http://www.fortwayne.com/apps/pbcs.dll/article?AID=/20111018/NEWS09/320103593,capital_big_highlight,target,shaded_dot
frankfurt,ezb zentrale,römer,"frankfurt,ezb zentrale,germany",germany,15.10.2011,5000,Yes,http://www.occupyfrankfurt.de/,"http://www.spiegel.de/kultur/gesellschaft/0,1518,792557,00.html",capital_big_highlight,target,shaded_dot
Fredericton,City Hall,Justice Building,"Fredericton,City Hall,Canada",Canada,10/15/2011,400,Yes,http://www.facebook.com/OccupyFredericton?ref=ts#!/OccupyFredericton?sk=info,http://www.facebook.com/OccupyFredericton?ref=ts#!/photo.php?fbid=270758096289065&set=a.270758092955732.71789.270757182955823&type=3&theater,capital_big_highlight,target,shaded_dot
Fresno,Downtown,,"Fresno,Downtown,USA",USA,8/10/11,150,Yes,http://www.fresnobee.com/2011/10/06/2567346/occupy-wall-street-protest-underway.html,http://www.fresnobee.com/2011/10/06/2567346/occupy-wall-street-protest-underway.html,capital_big_highlight,target,shaded_dot
"Gainesville, FL",Bo Diddley Community Plaza,,"Gainesville, FL,Bo Diddley Community Plaza,USA",USA,12/10/11,,Yes,,http://occupygainesville.tumblr.com/,capital_big_highlight,target,shaded_dot
Geneva,Place des Nations,Parc du Bastions,"Geneva,Place des Nations,Switzerland",Switzerland,10/15/2011,300,Yes,http://www.tdg.ch/geneve/actu/indignes-plante-tentes-parc-bastions-2011-10-18,http://www.tdg.ch/geneve/actu/indignes-plante-tentes-parc-bastions-2011-10-18,capital_big_highlight,target,shaded_dot
Ghent,Zuidpark,,"Ghent,Zuidpark,Belgium",Belgium,10/29/2011,,Yes,https://niepleuen.wordpress.com/,http://niepleuen.files.wordpress.com/2011/10/occupugentposter.pdf,capital_big_highlight,target,shaded_dot
Girona,Plaça de Santa Eugènia,Plaça de Pompeu Fabra (delegació del Govern),"Girona,Plaça de Santa Eugènia,Spain",Spain,unsure but probably May15 2011,3500,No,http://www.elpuntavui.cat/noticia/article/2-societat/5-societat/464465-llico-de-civisme-a-girona-dels-indignats.html,http://estatic.elpunt.net/imatges/44/32/alta/780_008_4432665_aeed5997ec8bf87a9d5daea6f52f5b2e.jpg,capital_big_highlight,target,shaded_dot
Granada,Plaza la Caleta,,"Granada,Plaza la Caleta,Spain",Spain,10/15/2011,10,No,http://www.ideal.es/granada/20111016/local/granada/octubre-edicion-impresa-ideal-201110160521.html,,capital_big_highlight,target,shaded_dot
"Grand Rapids, Mchigan, USA",Monument Park,Veteran's Park,"Grand Rapids, Mchigan, USA,Monument Park,United States of America",United States of America,8/10/11,350,Yes,http://therapidian.org/occupy-grand-rapids-march-through-downtown-meet-calder-plaza,http://therapidian.org/sites/default/files/article_images/img1759_0.jpg,capital_big_highlight,target,shaded_dot
"Grand Rapids, Michigan",Downtown,,"Grand Rapids, Michigan,Downtown,USA",USA,8/10/11,400,Yes,https://www.facebook.com/OccupyGrandRapids?sk=friendactivity,,capital_big_highlight,target,shaded_dot
"Grass Valley, CA",Pioneer Park,,"Grass Valley, CA,Pioneer Park,USA",USA,10/16/2011,,Yes,http://www.occupywallstreetnc.org/category/meeting-notes,,capital_big_highlight,target,shaded_dot
