city,main_location,second_location,map_address,country,start_date,max_numbers,more_one_day,numbers_source,image_url,icon_1,icon_2,icon_3
Mieres,Parque Jovellanos,,"Mieres,Parque Jovellanos,Spain",Spain,10/15/11,15000,No,http://www.lne.es/asturias/2011/10/15/cerca-15000-personas-apoyan-movimiento-15-m-mieres/1143203.html,,capital_big_highlight,target,shaded_dot
Milano,Piazza Duomo,Piazza Fontana,"Milano,Piazza Duomo,Italy",Italy,10/15/11,,Yes,http://it-it.facebook.com/motospontaneo,http://it-it.facebook.com/motospontaneo,capital_big_highlight,target,shaded_dot
Milwaukee,Zeidler Park,,"Milwaukee,Zeidler Park,USA",USA,10/15/2011,50,Yes,https://www.facebook.com/pages/Occupy-Milwaukee/145292382232714,https://fbcdn-sphotos-a.akamaihd.net/hphotos-ak-ash4/310969_154891147939504_145292382232714_238061_1587827982_n.jpg,capital_big_highlight,target,shaded_dot
"Minneapolis, MN",Hennepin County Government Center Plaza,,"Minneapolis, MN,Hennepin County Government Center Plaza,USA",USA,9 Oct (?),300,Yes,http://www.startribune.com/local/minneapolis/131917603.html,http://www.startribune.com/local/minneapolis/131917603.html,capital_big_highlight,target,shaded_dot
Moncton,City Hall,Aberdeen Community Center,"Moncton,City Hall,Canada",Canada,October 15th,100,Yes,https://www.facebook.com/MonctonGeneralAssembly,https://www.facebook.com/MonctonGeneralAssembly,capital_big_highlight,target,shaded_dot
Montemerano,Piazza del Castello,,"Montemerano,Piazza del Castello,Italy",Italy,10/15/11,1,No,,http://www.facebook.com/photo.php?fbid=274125975955212&set=a.274125875955222.73531.100000734367135&type=1&ref=nf,capital_big_highlight,target,shaded_dot
"Monterey, California",Colton Hall,,"Monterey, California,Colton Hall,USA",USA,10/15/2011,200,No,http://www.montereyherald.com/local/ci_19125566,http://www.montereyherald.com/local/ci_19125566,capital_big_highlight,target,shaded_dot
"Monterrey, N.L.",Explanada de los Héroes,,"Monterrey, N.L.,Explanada de los Héroes,Mexico",Mexico,october 15th,,No,http://www.larocka.mx/sexion-dos/suciedad-dos/733.html,http://www.larocka.mx/images/stories/suciedad/acampa_mty_3.jpg,capital_big_highlight,target,shaded_dot
Montevideo,Plaza Indepencia,,"Montevideo,Plaza Indepencia,Uruguay",Uruguay,10/15/2011,100,Yes,http://www.montevideo.com.uy/notnoticias_151179_1.html,http://www.montevideo.com.uy/notnoticias_151179_1.html,capital_big_highlight,target,shaded_dot
Montreal,Square Victoria,,"Montreal,Square Victoria,Canada",Canada,10/15/2011,500,Yes,http://www.montrealgazette.com/news/Occupy+Montreal+protesters+have+plans+leave+Victoria+Square/5558582/story.html,http://www.montrealgazette.com/news/Occupy+Montreal+protesters+have+plans+leave+Victoria+Square/5558582/story.html,capital_big_highlight,target,shaded_dot
"Nanaimo, B.C. Canada",Diana Krall Plaza,,"Nanaimo, B.C. Canada,Diana Krall Plaza,Canada",Canada,10/15/2011,300,Yes,https://www.facebook.com/event.php?eid=133603846741208,http://s931.photobucket.com/albums/ad156/IronOcean/Occupy%20Nanaimo%202011/,capital_big_highlight,target,shaded_dot
"Naperville, Illinois",Downtown,Riverwalk,"Naperville, Illinois,Downtown,USA",USA,10/23/2011,70,Yes,http://napervillesun.suntimes.com/8466943-417/occupy-naperville-draws-new-followers.html,http://www.nctv17.com/napervillenews17/article.php?id=1002,capital_big_highlight,target,shaded_dot
"Naples, Florida",5th Avenue,,"Naples, Florida,5th Avenue,USA",USA,10/15/2011,400,Yes,http://www.naplesnews.com/news/2011/oct/15/occupy-comes-naples-5-pm-march-city-hall/?partner=popular,http://www.naplesnews.com/news/2011/oct/15/occupy-comes-naples-5-pm-march-city-hall/?partner=popular,capital_big_highlight,target,shaded_dot
Nashville,Legislative Plaza,846 Beth Drive,"Nashville,Legislative Plaza,United States",United States,10/15/2011,300,Yes,http://www.tennessean.com/article/20111028/NEWS01/111028004/Arrested-Occupy-Nashville-still-detained-by-THP-protesters-say?odyssey=tab|topnews|text|FRONTPAGE,http://www.tennessean.com/article/20111028/NEWS01/111028004/Arrested-Occupy-Nashville-still-detained-by-THP-protesters-say?odyssey=tab|topnews|text|FRONTPAGE,capital_big_highlight,target,shaded_dot
Nelson,City Hall,,"Nelson,City Hall,Canada",Canada,10/15/2011,500-1000,Yes,http://thenelsonpost.ca/2011/10/17/occupy-nelson-from-the-grassroots-point-of-view/,http://thenelsonpost.ca/wp-content/blogs.dir/259/files/occupy-nelson/corpandstate.jpg,capital_big_highlight,target,shaded_dot
"New Haven, Connecticut",New Haven Green,,"New Haven, Connecticut,New Haven Green,USA",USA,10/15/2012,100,Yes,https://www.facebook.com/occupynewhaven,,capital_big_highlight,target,shaded_dot
New Orleans,Lafayette Square,Orleans Parish Criminal-Justice Complex (Starting Point),"New Orleans,Lafayette Square,United States",United States,6/10/11,400,Yes,http://thelensnola.org/2011/10/06/occupy-new-orleans-protest-draws-large-crowd-and-mixed-reactions/?utm_source=The+Lens+Newsletter&utm_campaign=37a73d1256-The_Lens_Weekly_Newsletter_6_36_3_2011&utm_medium=email,http://thelensnola.org/2011/10/06/occupy-new-orleans-protest-draws-large-crowd-and-mixed-reactions/?utm_source=The+Lens+Newsletter&utm_campaign=37a73d1256-The_Lens_Weekly_Newsletter_6_36_3_2011&utm_medium=email,capital_big_highlight,target,shaded_dot
New Port Richey Florida,,Tampa Convention Center,"New Port Richey Florida,,USA",USA,,,Yes,http://www.wmnf.org/news_stories/10069,,capital_big_highlight,target,shaded_dot
Newcastle,Grey's Monument,,"Newcastle,Grey's Monument,England",England,15th October,170,Yes,www.occupynewcastle.org,occupynewcastle.org,capital_big_highlight,target,shaded_dot
Newton NJ,Newton Green,,"Newton NJ,Newton Green,USA",USA,10/15/2011,150,No,http://www.njherald.com/story/news/101511occupynewton-web,http://1.bp.blogspot.com/-n8lFlFSgUCg/TpsmP3OIbNI/AAAAAAAAAGo/QFItuel_kko/s1600/panoramic.jpg,capital_big_highlight,target,shaded_dot
Nicosia,Lidra Street - Buffer Zone,,"Nicosia,Lidra Street - Buffer Zone,Cyprus",Cyprus,10/15/11,,Yes,https://www.facebook.com/pages/Weekly-occupation-of-Lidra-St-buffer-zone/146097295489372?sk=photos,,capital_big_highlight,target,shaded_dot
Nijmegen,Valkhof Park,,"Nijmegen,Valkhof Park,Holland",Holland,10/18/2011,,Yes,,http://www.youtube.com/watch?v=BVPS6d_SnFw,capital_big_highlight,target,shaded_dot
North Carolina,"Greensboro, North Carolina",YWCA parking lot downtown,"North Carolina,Greensboro, North Carolina,USA",USA,10/15/2011,"1,000 people",Yes,http://www.news-record.com/blog/55399/entry/129780,http://occupygreensboro.org/,capital_big_highlight,target,shaded_dot
Norwich,Haymarket,,"Norwich,Haymarket,England",England,10/15/11,200,Yes,http://www.eveningnews24.co.uk/news/norwich_street_protesters_vow_to_keep_on_campaigning_over_world_economic_problems_1_1091950,http://www.eveningnews24.co.uk/news/norwich_street_protesters_vow_to_keep_on_campaigning_over_world_economic_problems_1_1091950,capital_big_highlight,target,shaded_dot
Nottingham,Old Market Square,,"Nottingham,Old Market Square,United Kingdom",United Kingdom,10/15/11,10,Yes,http://nottingham.indymedia.org.uk/articles/2076,http://nottingham.indymedia.org.uk/articles/2076,capital_big_highlight,target,shaded_dot
Oakland,Downtown,,"Oakland,Downtown,USA",USA,10/10/11,500,Yes,http://abclocal.go.com/kgo/story?section=news/local/east_bay&id=8393402&rss=rss-kgo-article-8393402,http://abclocal.go.com/kgo/story?section=news/local/east_bay&id=8393402&rss=rss-kgo-article-8393402,capital_big_highlight,target,shaded_dot
Olympia,Hertitage Park,,"Olympia,Hertitage Park,USA",USA,10/18/11,200,Yes,http://www.theolympian.com/2011/10/17/1841305/occupy-olympia-group-moving-to.html,http://a8.sphotos.ak.fbcdn.net/hphotos-ak-snc7/303211_2054676018169_1582631913_31767950_967140017_n.jpg,capital_big_highlight,target,shaded_dot
Orlando,Regional Chamber of Commerce,Beth Johnson Park,"Orlando,Regional Chamber of Commerce,United States of America",United States of America,October 5th 2011,2000,Yes,www.occupyorlando.org,http://www.occupyorlandoforum.org/wp-content/uploads/2011/10/occupyorlando.png,capital_big_highlight,target,shaded_dot
Oslo,Stortinget,,"Oslo,Stortinget,Norway",Norway,15th October,150,No,http://www.aftenposten.no/nyheter/uriks/article4256468.ece,http://gfx.nrk.no/uzTuIYSzm4lr6gQEIrO9wAb-X3PDOWErr1aJaKBikjPA.jpg,capital_big_highlight,target,shaded_dot
Ottawa,Confederation Park,,"Ottawa,Confederation Park,Canada",Canada,10/15/2011,300,Yes,http://www.ottawacitizen.com/business/Settling+long+haul/5564583/story.html,http://www.facebook.com/occupy.ottawa,capital_big_highlight,target,shaded_dot
Paisley,Cotton St,,"Paisley,Cotton St,",,10/20/2011,1,Yes,http://www.paisleydailyexpress.co.uk/renfrewshire-news/local-news-in-renfrewshire/paisley-news/2011/10/21/jimmy-sets-up-camp-87085-29632782/,,capital_big_highlight,target,shaded_dot
Palma de Mallorca,Passeig des Born,Plaça d'Espanya,"Palma de Mallorca,Passeig des Born,Spain",Spain,10/15/11,10000,Yes,http://www.diariodemallorca.es/mallorca/2011/10/15/miles-indignados-exigen-palma-cambio-global/712000.html?pCom=2#EnlaceComentarios,http://www.diariodemallorca.es/mallorca/2011/10/15/miles-indignados-exigen-palma-cambio-global/712000.html?pCom=2#EnlaceComentarios,capital_big_highlight,target,shaded_dot
"Palo Alto, California",Bank of America,El Camino Real,"Palo Alto, California,Bank of America,USA",USA,12/10/11,150,Yes,http://www.mercurynews.com/peninsula/ci_19102940,http://www.mercurynews.com/peninsula/ci_19102940,capital_big_highlight,target,shaded_dot
Paris,La Défense,,"Paris,La Défense,France",France,11/4/11,hundreds,Yes,http://www.lemonde.fr/societe/article/2011/11/04/le-quartier-de-la-defense-cible-des-indignes_1599262_3224.html,http://www.occuponsladefense.net,capital_big_highlight,target,shaded_dot
"Pasadena, California",Bank of America,Chase Manhattan Bank,"Pasadena, California,Bank of America,USA",USA,12/10/11,100,Yes,http://www.pasadenastarnews.com/ci_19099995,http://www.pasadenastarnews.com/ci_19099995,capital_big_highlight,target,shaded_dot
"Pensacola, FL",MLK Plaza,Dolce Vita Parking Lot,"Pensacola, FL,MLK Plaza,USA",USA,8/10/11,500,Yes,http://www.pnj.com/comments/article/20111016/NEWS01/110160323/Protesters-Occupy-Pensacola,http://cmsimg.pensacolanewsjournal.com/apps/pbcsi.dll/bilde?NewTbl=1&Site=DP&Date=20111015&Category=NEWS01&ArtNo=110150807&Ref=PH&Item=8&Maxw=620&Maxh=465&q=60,capital_big_highlight,target,shaded_dot
"Peoria, Illinois",Liberty Park,Main and University Streets,"Peoria, Illinois,Liberty Park,United States",United States,10/15/2011,300,Yes,http://www.pjstar.com/news/x1069154897/Occupy-Peoria-just-getting-going-with-first-rally,http://www.pjstar.com/news/x1069154897/Occupy-Peoria-just-getting-going-with-first-rally?photo=3,capital_big_highlight,target,shaded_dot
